==========
ECO1001,UICE
ECO1002,unknown
ECO1101,전기
ECO1102,ME
ECO1103,전기
ECO1104,전기
ECO2001,전선
ECO2101,전필
ECO2102,전필
ECO2103,전선
ECO2104,ME
ECO2109,ME
ECO2112,전선
ECO2113,전선
ECO2114,전선
ECO3000,전선
ECO3101,전선
ECO3102,전선
ECO3103,전선
ECO3104,전선
ECO3105,전선
ECO3106,전선
ECO3107,ME
ECO3108,전선
ECO3109,전선
ECO3110,전선
ECO3111,전선
ECO3112,전선
ECO3113,전선
ECO3114,전선
ECO3115,전선
ECO3116,전선
ECO3117,ME
ECO3118,전선
ECO3119,전선
ECO3120,전선
ECO3121,전선
ECO3122,ME
ECO3123,전선
ECO3124,ME
ECO3127,전선
ECO3128,전선
ECO3130,전선
ECO3131,전선
ECO3132,전선
ECO3133,전선
ECO3134,전선
ECO3137,전선
ECO3140,전선
ECO3150,전선
ECO3160,전선
ECO3161,전선
ECO3162,전선
ECO3165,전선
ECO3200,전선
ECO4102,ME
ECO4103,전선
ECO4104,전선
ECO4105,ME
ECO4107,전선
ECO4108,ME
ECO4110,전선
ECO4111,ME
ECO4113,전선
ECO4114,전선
ECO4115,전선
ECO4116,전선
ECO4117,전선
ECO4118,unknown
ECO4119,전선
ECO4120,전선
ECO4121,unknown
ECO4122,전선
ECO4124,전선
ECO4125,전선
ECO4861,전선
ECO4862,전선
ECO4863,전선
ECO4864,unknown
ECO4865,ME
ECO4866,전선
==========
STA1001,대교
STA1002,전기
STA2102,전기
STA2103,전선
STA2104,전기
STA2105,전기
STA3102,전선
STA3104,전선
STA3105,전선
STA3107,전선
STA3108,전선
STA3109,전필
STA3110,전선
STA3111,전선
STA3113,전선
STA3115,전선
STA3122,전선
STA3123,전선
STA3124,전선
STA3125,전선
STA3126,전필
STA3127,전선
STA3129,전선
STA3130,전선
STA3131,전선
STA3133,전선
STA3135,전선
STA3140,전선
STA3141,전선
STA3142,전선
STA3143,전선
STA4102,전선
STA4103,전선
STA4104,전선
STA4108,전선
STA4109,전선
STA4110,전선
STA4111,전선
STA4112,전선
STA4114,전선
STA4115,전선
STA4116,전선
STA4117,전선
STA4118,전선
STA4119,전선
STA4120,전선
STA4122,전선
